tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
55,0.69,34,46,53,45,1.00,62,65,47,1.38,10,27,38,53,43,38,0.97,1.07,1.50,1.97,1.33,1.50,37,30,25,2.93,2.40,3.01,67,40,58,37,27,35,53,50,59,1.47,12,41,56,34,0.63,1.59,1.69,1.41,31,25,2.31,3.01,50,58,25,35,31,59,1.28,20,34,40,41,1.33,1.41,1.73,1.59,40,25,3.07,3.01,60,58,47,35,73,59,31,12,12,31,56,38,25,13,7,33,73,20,13,27,2 - 2,Parma,Udinese,pmatch.asp?league=italy&stats=229-5-20-2021,Sun 21 Feb
37,1.53,46,60,53,46,2.27,43,44,47,1.38,63,77,38,17,7,38,1.90,2.30,1.50,1.17,0.90,1.50,20,17,25,3.07,3.20,3.01,63,67,58,33,33,35,57,60,59,1.47,40,41,27,34,1.73,1.59,1.40,1.41,33,25,3.13,3.01,60,58,40,35,47,59,1.28,67,34,7,41,2.00,1.41,0.80,1.59,27,25,2.80,3.01,60,58,20,35,60,59,33,33,33,47,20,20,40,40,33,27,60,7,0,13,0 - 3,AC Milan,Inter Milan,pmatch.asp?league=italy&stats=221-13-18-2021,Sun 21 Feb
49,2.00,58,58,53,47,1.75,43,59,47,1.38,60,63,38,17,30,38,2.37,2.17,1.50,1.27,1.13,1.50,23,7,25,3.63,3.30,3.01,67,60,58,53,40,35,67,50,59,1.47,60,41,20,34,2.73,1.59,1.47,1.41,20,25,4.20,3.01,80,58,67,35,73,59,1.28,56,34,38,41,1.75,1.41,1.25,1.59,6,25,3.00,3.01,56,58,31,35,50,59,20,13,40,73,13,7,33,38,38,31,50,12,12,25,4 - 2,Atalanta,Napoli,pmatch.asp?league=italy&stats=224-15-6-2021,Sun 21 Feb
40,0.75,50,56,53,33,1.29,37,61,47,1.38,23,53,38,47,27,38,1.00,1.80,1.50,1.83,1.47,1.50,30,20,25,2.83,3.27,3.01,47,67,58,33,47,35,53,50,59,1.47,12,41,50,34,0.94,1.59,1.94,1.41,38,25,2.88,3.01,50,58,31,35,56,59,1.28,36,34,43,41,1.43,1.41,1.93,1.59,21,25,3.36,3.01,71,58,50,35,50,59,19,12,19,56,31,25,38,14,7,21,50,43,36,36,0 - 0,Benevento,AS Roma,pmatch.asp?league=italy&stats=225-17-4-2021,Sun 21 Feb
61,2.38,56,44,53,13,0.13,46,62,47,1.38,60,13,38,13,77,38,2.03,1.23,1.50,0.90,2.57,1.50,27,10,25,2.93,3.80,3.01,57,77,58,37,53,35,60,67,59,1.47,75,41,12,34,2.13,1.59,0.75,1.41,12,25,2.88,3.01,62,58,25,35,50,59,1.28,0,34,88,41,1.06,1.41,3.00,1.59,12,25,4.06,3.01,81,58,62,35,69,59,38,38,50,50,12,12,6,12,0,19,69,31,19,62,3 - 0,Juventus,Crotone,pmatch.asp?league=italy&stats=223-11-8-2021,Mon 22 Feb
53,1.13,50,45,53,45,0.64,66,54,47,1.38,27,10,38,47,53,38,1.33,0.97,1.50,1.83,1.97,1.50,27,37,25,3.17,2.93,3.01,77,67,58,37,37,35,67,53,59,1.47,27,41,40,34,1.33,1.59,1.67,1.41,33,25,3.00,3.01,67,58,40,35,73,59,1.28,7,34,50,41,1.36,1.41,2.29,1.59,43,25,3.64,3.01,86,58,50,35,79,59,13,7,20,73,20,13,27,0,0,29,79,21,21,50,2 - 2,Spezia,Parma,pmatch.asp?league=italy&stats=239-19-5-2021,Sat 27 Feb
62,1.50,62,48,53,47,1.73,50,55,47,1.38,30,59,38,47,28,38,1.30,1.59,1.50,1.53,1.31,1.50,23,14,25,2.83,2.90,3.01,50,55,58,37,28,35,57,62,59,1.47,43,41,36,34,1.71,1.59,1.57,1.41,21,25,3.29,3.01,57,58,50,35,64,59,1.28,53,34,33,41,1.53,1.41,1.40,1.59,13,25,2.93,3.01,47,58,33,35,53,59,21,21,36,64,14,14,29,33,33,33,53,13,13,40,2 - 0,Bologna,Lazio,pmatch.asp?league=italy&stats=237-14-16-2021,Sat 27 Feb
51,1.40,47,49,53,39,1.71,44,56,47,1.38,37,60,38,37,13,38,1.27,2.03,1.50,1.17,0.90,1.50,27,27,25,2.43,2.93,3.01,43,57,58,20,37,35,53,60,59,1.47,40,41,40,34,1.20,1.59,1.13,1.41,20,25,2.33,3.01,47,58,13,35,53,59,1.28,43,34,14,41,1.93,1.41,1.07,1.59,43,25,3.00,3.01,50,58,50,35,71,59,20,13,20,53,33,27,20,14,14,43,71,14,14,14,1 - 1,Hellas Verona,Juventus,pmatch.asp?league=italy&stats=236-3-11-2021,Sat 27 Feb
56,1.33,56,51,53,51,2.07,42,42,47,1.38,33,60,38,47,17,38,1.30,2.37,1.50,1.50,1.27,1.50,20,23,25,2.80,3.63,3.01,60,67,58,23,53,35,67,67,59,1.47,40,41,47,34,1.47,1.59,1.53,1.41,13,25,3.00,3.01,67,58,27,35,67,59,1.28,60,34,13,41,2.00,1.41,1.07,1.59,27,25,3.07,3.01,53,58,40,35,60,59,13,13,20,67,20,20,53,33,27,40,60,13,7,0,0 - 2,Sampdoria,Atalanta,pmatch.asp?league=italy&stats=231-12-15-2021,Sun 28 Feb
87,0.93,54,38,53,45,0.67,52,49,47,1.38,13,17,38,77,60,38,1.23,1.03,1.50,2.57,1.70,1.50,10,23,25,3.80,2.73,3.01,77,40,58,53,33,35,67,53,59,1.47,29,41,64,34,1.43,1.59,2.07,1.41,7,25,3.50,3.01,71,58,43,35,64,59,1.28,13,34,60,41,1.07,1.41,1.67,1.59,27,25,2.73,3.01,40,58,33,35,53,59,0,0,21,64,36,36,43,13,7,27,53,40,33,27,0 - 2,Crotone,Cagliari,pmatch.asp?league=italy&stats=233-8-10-2021,Sun 28 Feb
54,2.67,57,56,53,44,0.93,34,50,47,1.38,77,23,38,7,40,38,2.30,1.07,1.50,0.90,1.47,1.50,17,37,25,3.20,2.53,3.01,67,50,58,33,23,35,60,60,59,1.47,87,41,7,34,2.60,1.59,1.00,1.41,7,25,3.60,3.01,73,58,47,35,60,59,1.28,20,34,47,41,0.73,1.41,1.47,1.59,33,25,2.20,3.01,47,58,13,35,40,59,40,40,53,60,0,0,13,27,7,13,40,53,33,20,3 - 0,Inter Milan,Genoa,pmatch.asp?league=italy&stats=235-18-7-2021,Sun 28 Feb
55,1.20,38,35,53,33,0.71,42,55,47,1.38,27,23,38,43,47,38,1.07,1.27,1.50,1.33,1.63,1.50,30,30,25,2.40,2.90,3.01,40,53,58,27,27,35,50,57,59,1.47,33,41,47,34,0.80,1.59,0.93,1.41,20,25,1.73,3.01,20,58,7,35,27,59,1.28,14,34,57,41,1.14,1.41,1.93,1.59,29,25,3.07,3.01,57,58,29,35,50,59,40,27,13,27,47,33,33,14,7,21,50,43,36,50,1 - 0,Udinese,Fiorentina,pmatch.asp?league=italy&stats=234-20-1-2021,Sun 28 Feb
53,2.21,57,41,53,60,1.29,50,44,47,1.38,63,23,38,30,47,38,2.17,1.00,1.50,1.13,1.83,1.50,7,30,25,3.30,2.83,3.01,60,47,58,40,33,35,50,53,59,1.47,71,41,21,34,2.64,1.59,1.00,1.41,7,25,3.64,3.01,64,58,50,35,50,59,1.28,36,34,43,41,1.07,1.41,1.71,1.59,21,25,2.79,3.01,43,58,36,35,50,59,43,43,50,50,7,7,14,29,21,21,50,29,21,36,2 - 0,Napoli,Benevento,pmatch.asp?league=italy&stats=232-6-17-2021,Sun 28 Feb
67,2.25,63,39,53,63,2.67,54,40,47,1.38,53,63,38,27,17,38,1.80,1.90,1.50,1.47,1.17,1.50,20,20,25,3.27,3.07,3.01,67,63,58,47,33,35,50,57,59,1.47,69,41,12,34,2.13,1.59,1.06,1.41,19,25,3.19,3.01,62,58,44,35,50,59,1.28,87,34,7,41,2.07,1.41,0.93,1.59,7,25,3.00,3.01,67,58,27,35,67,59,44,38,44,50,12,6,25,27,27,73,67,7,7,7,1 - 2,AS Roma,AC Milan,pmatch.asp?league=italy&stats=238-4-13-2021,Sun 28 Feb
61,2.38,56,44,53,47,1.00,50,55,47,1.38,60,27,38,13,47,38,2.03,1.33,1.50,0.90,1.83,1.50,27,27,25,2.93,3.17,3.01,57,77,58,37,37,35,60,67,59,1.47,75,41,12,34,2.13,1.59,0.75,1.41,12,25,2.88,3.01,62,58,25,35,50,59,1.28,27,34,53,41,1.33,1.41,2.00,1.59,20,25,3.33,3.01,87,58,33,35,60,59,38,38,50,50,12,12,6,20,13,33,60,27,20,20,3 - 0,Lazio,Torino,pmatch.asp?league=italy&stats=247-11-19-2021,Tue 2 Mar
44,1.36,47,46,53,47,1.75,43,59,47,1.38,37,63,38,30,30,38,1.63,2.17,1.50,1.60,1.13,1.50,33,7,25,3.23,3.30,3.01,60,60,58,37,40,35,73,50,59,1.47,29,41,21,34,1.64,1.59,1.57,1.41,50,25,3.21,3.01,64,58,36,35,79,59,1.28,56,34,38,41,1.75,1.41,1.25,1.59,6,25,3.00,3.01,56,58,31,35,50,59,14,7,21,79,14,7,43,38,38,31,50,12,12,25,3 - 3,Juventus,Spezia,pmatch.asp?league=italy&stats=244-9-6-2021,Tue 2 Mar
37,1.53,46,60,53,45,1.00,62,65,47,1.38,63,27,38,17,43,38,1.90,1.07,1.50,1.17,1.33,1.50,20,30,25,3.07,2.40,3.01,63,40,58,33,27,35,57,50,59,1.47,40,41,27,34,1.73,1.59,1.40,1.41,33,25,3.13,3.01,60,58,40,35,47,59,1.28,20,34,40,41,1.33,1.41,1.73,1.59,40,25,3.07,3.01,60,58,47,35,73,59,33,33,33,47,20,20,40,13,7,33,73,20,13,27,1 - 1,Sassuolo,Napoli,pmatch.asp?league=italy&stats=249-13-20-2021,Wed 3 Mar
49,2.00,58,58,53,13,0.13,46,62,47,1.38,60,13,38,17,77,38,2.37,1.23,1.50,1.27,2.57,1.50,23,10,25,3.63,3.80,3.01,67,77,58,53,53,35,67,67,59,1.47,60,41,20,34,2.73,1.59,1.47,1.41,20,25,4.20,3.01,80,58,67,35,73,59,1.28,0,34,88,41,1.06,1.41,3.00,1.59,12,25,4.06,3.01,81,58,62,35,69,59,20,13,40,73,13,7,33,12,0,19,69,31,19,62,5 - 1,AC Milan,Udinese,pmatch.asp?league=italy&stats=242-15-8-2021,Wed 3 Mar
40,0.75,50,56,53,49,1.33,53,51,47,1.38,23,37,38,47,37,38,1.00,1.27,1.50,1.83,1.17,1.50,30,27,25,2.83,2.43,3.01,47,43,58,33,20,35,53,53,59,1.47,12,41,50,34,0.94,1.59,1.94,1.41,38,25,2.88,3.01,50,58,31,35,56,59,1.28,33,34,33,41,1.33,1.41,1.20,1.59,33,25,2.53,3.01,40,58,27,35,53,59,19,12,19,56,31,25,38,27,27,27,53,20,20,13,0 - 3,Atalanta,Crotone,pmatch.asp?league=italy&stats=250-17-3-2021,Wed 3 Mar
55,0.80,48,51,53,38,0.81,38,52,47,1.38,17,30,38,60,47,38,1.03,1.30,1.50,1.70,1.53,1.50,23,23,25,2.73,2.83,3.01,40,50,58,33,37,35,53,57,59,1.47,20,41,60,34,1.00,1.59,1.73,1.41,20,25,2.73,3.01,40,58,33,35,53,59,1.28,19,34,56,41,0.94,1.41,1.50,1.59,25,25,2.44,3.01,44,58,25,35,50,59,13,13,7,53,33,33,27,12,6,12,50,44,38,38,1 - 0,Benevento,Hellas Verona,pmatch.asp?league=italy&stats=241-10-14-2021,Wed 3 Mar
67,1.25,58,45,53,33,1.29,37,61,47,1.38,23,53,38,47,27,38,1.27,1.80,1.50,1.63,1.47,1.50,30,20,25,2.90,3.27,3.01,53,67,58,27,47,35,57,50,59,1.47,31,41,38,34,1.38,1.59,1.38,1.41,31,25,2.75,3.01,50,58,25,35,62,59,1.28,36,34,43,41,1.43,1.41,1.93,1.59,21,25,3.36,3.01,71,58,50,35,50,59,25,19,19,62,19,12,38,14,7,21,50,43,36,36,1 - 2,Cagliari,Bologna,pmatch.asp?league=italy&stats=245-1-4-2021,Wed 3 Mar
56,1.20,66,50,53,44,1.07,44,49,47,1.38,23,33,38,40,47,38,1.07,1.30,1.50,1.47,1.50,1.50,37,20,25,2.53,2.80,3.01,50,60,58,23,23,35,60,67,59,1.47,27,41,33,34,1.40,1.59,1.47,1.41,40,25,2.87,3.01,53,58,33,35,80,59,1.28,27,34,47,41,1.13,1.41,1.47,1.59,27,25,2.60,3.01,53,58,20,35,67,59,13,13,13,80,7,7,20,7,7,20,67,27,27,27,1 - 1,Fiorentina,AS Roma,pmatch.asp?league=italy&stats=246-7-12-2021,Wed 3 Mar
55,0.69,34,46,53,46,2.27,43,44,47,1.38,10,77,38,53,7,38,0.97,2.30,1.50,1.97,0.90,1.50,37,17,25,2.93,3.20,3.01,67,67,58,37,33,35,53,60,59,1.47,12,41,56,34,0.63,1.59,1.69,1.41,31,25,2.31,3.01,50,58,25,35,31,59,1.28,67,34,7,41,2.00,1.41,0.80,1.59,27,25,2.80,3.01,60,58,20,35,60,59,31,12,12,31,56,38,25,40,33,27,60,7,0,13,1 - 2,Genoa,Sampdoria,pmatch.asp?league=italy&stats=243-5-18-2021,Wed 3 Mar
53,1.13,50,45,53,60,1.29,50,44,47,1.38,27,23,38,47,47,38,1.33,1.00,1.50,1.83,1.83,1.50,27,30,25,3.17,2.83,3.01,77,47,58,37,33,35,67,53,59,1.47,27,41,40,34,1.33,1.59,1.67,1.41,33,25,3.00,3.01,67,58,40,35,73,59,1.28,36,34,43,41,1.07,1.41,1.71,1.59,21,25,2.79,3.01,43,58,36,35,50,59,13,7,20,73,20,13,27,29,21,21,50,29,21,36,1 - 1,Parma,Inter Milan,pmatch.asp?league=italy&stats=253-19-17-2021,Thu 4 Mar
55,1.20,38,35,53,56,1.50,53,54,47,1.38,27,37,38,43,30,38,1.07,1.63,1.50,1.33,1.60,1.50,30,33,25,2.40,3.23,3.01,40,60,58,27,37,35,50,73,59,1.47,33,41,47,34,0.80,1.59,0.93,1.41,20,25,1.73,3.01,20,58,7,35,27,59,1.28,44,34,38,41,1.63,1.41,1.63,1.59,19,25,3.25,3.01,56,58,38,35,69,59,40,27,13,27,47,33,33,25,19,31,69,12,6,31,2 - 0,Spezia,Benevento,pmatch.asp?league=italy&stats=259-20-9-2021,Sat 6 Mar
61,2.38,56,44,53,47,1.73,50,55,47,1.38,60,59,38,13,28,38,2.03,1.59,1.50,0.90,1.31,1.50,27,14,25,2.93,2.90,3.01,57,55,58,37,28,35,60,62,59,1.47,75,41,12,34,2.13,1.59,0.75,1.41,12,25,2.88,3.01,62,58,25,35,50,59,1.28,53,34,33,41,1.53,1.41,1.40,1.59,13,25,2.93,3.01,47,58,33,35,53,59,38,38,50,50,12,12,6,33,33,33,53,13,13,40,3 - 1,Udinese,Sassuolo,pmatch.asp?league=italy&stats=251-11-16-2021,Sat 6 Mar
67,2.25,63,39,53,44,0.93,34,50,47,1.38,53,23,38,27,40,38,1.80,1.07,1.50,1.47,1.47,1.50,20,37,25,3.27,2.53,3.01,67,50,58,47,23,35,50,60,59,1.47,69,41,12,34,2.13,1.59,1.06,1.41,19,25,3.19,3.01,62,58,44,35,50,59,1.28,20,34,47,41,0.73,1.41,1.47,1.59,33,25,2.20,3.01,47,58,13,35,40,59,44,38,44,50,12,6,25,27,7,13,40,53,33,20,1 - 0,Juventus,Lazio,pmatch.asp?league=italy&stats=256-4-7-2021,Sat 6 Mar
87,0.93,54,38,53,59,1.07,52,52,47,1.38,13,17,38,77,41,38,1.23,1.45,1.50,2.57,1.79,1.50,10,41,25,3.80,3.24,3.01,77,59,58,53,45,35,67,69,59,1.47,29,41,64,34,1.43,1.59,2.07,1.41,7,25,3.50,3.01,71,58,43,35,64,59,1.28,27,34,47,41,1.47,1.41,1.80,1.59,27,25,3.27,3.01,60,58,40,35,60,59,0,0,21,64,36,36,43,20,20,33,60,20,20,20,4 - 2,AS Roma,Genoa,pmatch.asp?league=italy&stats=260-8-2-2021,Sun 7 Mar
67,1.25,58,45,53,45,0.64,66,54,47,1.38,23,10,38,47,53,38,1.27,0.97,1.50,1.63,1.97,1.50,30,37,25,2.90,2.93,3.01,53,67,58,27,37,35,57,53,59,1.47,31,41,38,34,1.38,1.59,1.38,1.41,31,25,2.75,3.01,50,58,25,35,62,59,1.28,7,34,50,41,1.36,1.41,2.29,1.59,43,25,3.64,3.01,86,58,50,35,79,59,25,19,19,62,19,12,38,0,0,29,79,21,21,50,3 - 3,Crotone,Torino,pmatch.asp?league=italy&stats=258-1-5-2021,Sun 7 Mar
51,1.40,47,49,53,63,2.67,54,40,47,1.38,37,63,38,37,17,38,1.27,1.90,1.50,1.17,1.17,1.50,27,20,25,2.43,3.07,3.01,43,63,58,20,33,35,53,57,59,1.47,40,41,40,34,1.20,1.59,1.13,1.41,20,25,2.33,3.01,47,58,13,35,53,59,1.28,87,34,7,41,2.07,1.41,0.93,1.59,7,25,3.00,3.01,67,58,27,35,67,59,20,13,20,53,33,27,20,27,27,73,67,7,7,7,0 - 2,Fiorentina,Parma,pmatch.asp?league=italy&stats=257-3-13-2021,Sun 7 Mar
56,1.33,56,51,53,45,0.67,52,49,47,1.38,33,17,38,47,60,38,1.30,1.03,1.50,1.50,1.70,1.50,20,23,25,2.80,2.73,3.01,60,40,58,23,33,35,67,53,59,1.47,40,41,47,34,1.47,1.59,1.53,1.41,13,25,3.00,3.01,67,58,27,35,67,59,1.28,13,34,60,41,1.07,1.41,1.67,1.59,27,25,2.73,3.01,40,58,33,35,53,59,13,13,20,67,20,20,53,13,7,27,53,40,33,27,2 - 2,Hellas Verona,AC Milan,pmatch.asp?league=italy&stats=255-12-10-2021,Sun 7 Mar
53,2.21,57,41,53,38,0.81,38,52,47,1.38,63,30,38,30,47,38,2.17,1.30,1.50,1.13,1.53,1.50,7,23,25,3.30,2.83,3.01,60,50,58,40,37,35,50,57,59,1.47,71,41,21,34,2.64,1.59,1.00,1.41,7,25,3.64,3.01,64,58,50,35,50,59,1.28,19,34,56,41,0.94,1.41,1.50,1.59,25,25,2.44,3.01,44,58,25,35,50,59,43,43,50,50,7,7,14,12,6,12,50,44,38,38,3 - 1,Sampdoria,Cagliari,pmatch.asp?league=italy&stats=254-6-14-2021,Sun 7 Mar
54,2.67,57,56,53,51,2.07,42,42,47,1.38,77,60,38,7,17,38,2.30,2.37,1.50,0.90,1.27,1.50,17,23,25,3.20,3.63,3.01,67,67,58,33,53,35,60,67,59,1.47,87,41,7,34,2.60,1.59,1.00,1.41,7,25,3.60,3.01,73,58,47,35,60,59,1.28,60,34,13,41,2.00,1.41,1.07,1.59,27,25,3.07,3.01,53,58,40,35,60,59,40,40,53,60,0,0,13,33,27,40,60,13,7,0,1 - 0,Napoli,Bologna,pmatch.asp?league=italy&stats=252-18-15-2021,Sun 7 Mar
53,2.07,50,45,53,13,0.13,46,62,47,1.38,59,13,38,28,77,38,1.59,1.23,1.50,1.31,2.57,1.50,14,10,25,2.90,3.80,3.01,55,77,58,28,53,35,62,67,59,1.47,64,41,21,34,1.64,1.59,1.21,1.41,14,25,2.86,3.01,64,58,21,35,71,59,1.28,0,34,88,41,1.06,1.41,3.00,1.59,12,25,4.06,3.01,81,58,62,35,69,59,29,29,36,71,0,0,29,12,0,19,69,31,19,62,3 - 2,Inter Milan,Atalanta,pmatch.asp?league=italy&stats=261-16-8-2021,Mon 8 Mar
49,2.00,58,58,53,47,1.00,50,55,47,1.38,60,27,38,17,47,38,2.37,1.33,1.50,1.27,1.83,1.50,23,27,25,3.63,3.17,3.01,67,77,58,53,37,35,67,67,59,1.47,60,41,20,34,2.73,1.59,1.47,1.41,20,25,4.20,3.01,80,58,67,35,73,59,1.28,27,34,53,41,1.33,1.41,2.00,1.59,20,25,3.33,3.01,87,58,33,35,60,59,20,13,40,73,13,7,33,20,13,33,60,27,20,20,3 - 1,Lazio,Crotone,pmatch.asp?league=italy&stats=267-15-19-2021,Fri 12 Mar
44,1.36,47,46,53,49,1.33,53,51,47,1.38,37,37,38,30,37,38,1.63,1.27,1.50,1.60,1.17,1.50,33,27,25,3.23,2.43,3.01,60,43,58,37,20,35,73,53,59,1.47,29,41,21,34,1.64,1.59,1.57,1.41,50,25,3.21,3.01,64,58,36,35,79,59,1.28,33,34,33,41,1.33,1.41,1.20,1.59,33,25,2.53,3.01,40,58,27,35,53,59,14,7,21,79,14,7,43,27,27,27,53,20,20,13,3 - 2,Atalanta,Spezia,pmatch.asp?league=italy&stats=269-9-3-2021,Fri 12 Mar
40,0.75,50,56,53,33,0.71,42,55,47,1.38,23,23,38,47,47,38,1.00,1.27,1.50,1.83,1.63,1.50,30,30,25,2.83,2.90,3.01,47,53,58,33,27,35,53,57,59,1.47,12,41,50,34,0.94,1.59,1.94,1.41,38,25,2.88,3.01,50,58,31,35,56,59,1.28,14,34,57,41,1.14,1.41,1.93,1.59,29,25,3.07,3.01,57,58,29,35,50,59,19,12,19,56,31,25,38,14,7,21,50,43,36,50,1 - 4,Sassuolo,Hellas Verona,pmatch.asp?league=italy&stats=262-17-1-2021,Sat 13 Mar
56,1.20,66,50,53,45,1.00,62,65,47,1.38,23,27,38,40,43,38,1.07,1.07,1.50,1.47,1.33,1.50,37,30,25,2.53,2.40,3.01,50,40,58,23,27,35,60,50,59,1.47,27,41,33,34,1.40,1.59,1.47,1.41,40,25,2.87,3.01,53,58,33,35,80,59,1.28,20,34,40,41,1.33,1.41,1.73,1.59,40,25,3.07,3.01,60,58,47,35,73,59,13,13,13,80,7,7,20,13,7,33,73,20,13,27,1 - 1,Benevento,Fiorentina,pmatch.asp?league=italy&stats=268-7-20-2021,Sat 13 Mar
62,1.50,62,48,53,44,1.07,44,49,47,1.38,30,33,38,47,47,38,1.30,1.30,1.50,1.53,1.50,1.50,23,20,25,2.83,2.80,3.01,50,60,58,37,23,35,57,67,59,1.47,43,41,36,34,1.71,1.59,1.57,1.41,21,25,3.29,3.01,57,58,50,35,64,59,1.28,27,34,47,41,1.13,1.41,1.47,1.59,27,25,2.60,3.01,53,58,20,35,67,59,21,21,36,64,14,14,29,7,7,20,67,27,27,27,3 - 1,Genoa,Udinese,pmatch.asp?league=italy&stats=266-14-12-2021,Sat 13 Mar
55,0.69,34,46,53,33,1.29,37,61,47,1.38,10,53,38,53,27,38,0.97,1.80,1.50,1.97,1.47,1.50,37,20,25,2.93,3.27,3.01,67,67,58,37,47,35,53,50,59,1.47,12,41,56,34,0.63,1.59,1.69,1.41,31,25,2.31,3.01,50,58,25,35,31,59,1.28,36,34,43,41,1.43,1.41,1.93,1.59,21,25,3.36,3.01,71,58,50,35,50,59,31,12,12,31,56,38,25,14,7,21,50,43,36,36,2 - 0,Bologna,Sampdoria,pmatch.asp?league=italy&stats=265-5-4-2021,Sun 14 Mar
41,0.79,48,48,53,46,2.27,43,44,47,1.38,17,77,38,41,7,38,1.45,2.30,1.50,1.79,0.90,1.50,41,17,25,3.24,3.20,3.01,59,67,58,45,33,35,69,60,59,1.47,7,41,36,34,1.43,1.59,1.79,1.41,57,25,3.21,3.01,57,58,50,35,79,59,1.28,67,34,7,41,2.00,1.41,0.80,1.59,27,25,2.80,3.01,60,58,20,35,60,59,21,0,29,79,21,0,36,40,33,27,60,7,0,13,1 - 2,Parma,AS Roma,pmatch.asp?league=italy&stats=263-2-18-2021,Sun 14 Mar
55,0.80,48,51,53,39,1.71,44,56,47,1.38,17,60,38,60,13,38,1.03,2.03,1.50,1.70,0.90,1.50,23,27,25,2.73,2.93,3.01,40,57,58,33,37,35,53,60,59,1.47,20,41,60,34,1.00,1.59,1.73,1.41,20,25,2.73,3.01,40,58,33,35,53,59,1.28,43,34,14,41,1.93,1.41,1.07,1.59,43,25,3.00,3.01,50,58,50,35,71,59,13,13,7,53,33,33,27,14,14,43,71,14,14,14,1 - 3,Torino,Inter Milan,pmatch.asp?league=italy&stats=264-10-11-2021,Sun 14 Mar
37,1.53,46,60,53,47,1.75,43,59,47,1.38,63,63,38,17,30,38,1.90,2.17,1.50,1.17,1.13,1.50,20,7,25,3.07,3.30,3.01,63,60,58,33,40,35,57,50,59,1.47,40,41,27,34,1.73,1.59,1.40,1.41,33,25,3.13,3.01,60,58,40,35,47,59,1.28,56,34,38,41,1.75,1.41,1.25,1.59,6,25,3.00,3.01,56,58,31,35,50,59,33,33,33,47,20,20,40,38,38,31,50,12,12,25,0 - 1,Cagliari,Juventus,pmatch.asp?league=italy&stats=270-13-6-2021,Sun 14 Mar
41,0.79,48,48,53,56,1.50,53,54,47,1.38,17,37,38,41,30,38,1.45,1.63,1.50,1.79,1.60,1.50,41,33,25,3.24,3.23,3.01,59,60,58,45,37,35,69,73,59,1.47,7,41,36,34,1.43,1.59,1.79,1.41,57,25,3.21,3.01,57,58,50,35,79,59,1.28,44,34,38,41,1.63,1.41,1.63,1.59,19,25,3.25,3.01,56,58,38,35,69,59,21,0,29,79,21,0,36,25,19,31,69,12,6,31,3 - 2,AC Milan,Napoli,pmatch.asp?league=italy&stats=240-2-9-2021,Sun 14 Mar
55,0.69,34,46,53,44,0.93,34,50,47,1.38,10,23,38,53,40,38,0.97,1.07,1.50,1.97,1.47,1.50,37,37,25,2.93,2.53,3.01,67,50,58,37,23,35,53,60,59,1.47,12,41,56,34,0.63,1.59,1.69,1.41,31,25,2.31,3.01,50,58,25,35,31,59,1.28,20,34,47,41,0.73,1.41,1.47,1.59,33,25,2.20,3.01,47,58,13,35,40,59,31,12,12,31,56,38,25,27,7,13,40,53,33,20,1 - 2,Torino,Sassuolo,pmatch.asp?league=italy&stats=275-5-7-2021,Wed 17 Mar
87,0.93,54,38,53,38,0.81,38,52,47,1.38,13,30,38,77,47,38,1.23,1.30,1.50,2.57,1.53,1.50,10,23,25,3.80,2.83,3.01,77,50,58,53,37,35,67,57,59,1.47,29,41,64,34,1.43,1.59,2.07,1.41,7,25,3.50,3.01,71,58,43,35,64,59,1.28,19,34,56,41,0.94,1.41,1.50,1.59,25,25,2.44,3.01,44,58,25,35,50,59,0,0,21,64,36,36,43,12,6,12,50,44,38,38,2 - 3,Parma,Genoa,pmatch.asp?league=italy&stats=273-8-14-2021,Fri 19 Mar
